iter	RMSE
560	814.8292713
561	813.3265442
562	812.1526525
563	811.3296268
564	810.851966
565	809.8149948
566	808.0348061
567	807.0220501
568	806.5126871
569	805.5896002
570	804.6902434
571	804.0468409
572	803.404172
573	802.7582219
574	801.2599219
575	800.2226446
576	798.7692105
577	797.5928032
578	796.4626771
579	795.4406525
580	794.6714123
581	793.311298
582	791.7490398
583	790.7544297
584	789.5661372
585	788.924761
586	788.2784211
587	787.4247736
588	785.6573053
589	784.6865811
590	784.0903952
591	781.9291974
592	780.7154677
593	779.5994088
594	778.1695449
595	777.7378272
596	776.1107489
597	774.5310304
598	774.0061983
599	773.5955525
600	771.8366178
601	771.349714
602	770.2923762
603	768.8853232
604	767.6541014
605	767.3885777
606	766.9648258
607	765.7213036
608	763.9945005
609	762.722278
610	761.8437433
611	760.681649
612	760.1173274
613	759.4939676
614	758.8965171
615	756.8966473
616	756.1497474
617	755.0298998
618	754.3953379
619	752.4316914
620	751.6181067
621	750.9446319
622	750.0969384
623	749.2383333
624	748.5828197
625	747.720588
626	746.5725169
627	745.8829703
628	744.5267884
629	743.7195496
630	742.7676317
631	741.8287066
632	740.8939262
633	739.443196
634	738.2879138
635	736.6794353
636	735.4968485
637	734.8861017
638	734.3836461
639	734.0608695
640	732.9466797
641	731.684987
642	730.2975295
643	729.586744
644	728.5659188
645	727.2114008
646	726.0009272
647	724.4694869
648	723.4102695
649	722.2019096
650	721.4441566
651	719.7967022
652	718.8785025
653	717.5296714
654	716.3224003
655	715.3997367
656	714.1318188
657	713.391549
658	712.4562042
659	711.5488775
660	710.7996213
661	709.5542621
662	708.2801357
663	707.1890287
664	706.4511461
665	705.6320507
666	705.0236531
667	704.6161758
668	703.8728009
669	703.4086416
670	702.607886
671	701.8253121
672	700.91882
673	700.1218835
674	699.3242349
675	698.5771015
676	697.4437384
677	696.851761
678	695.6469929
679	694.7243527
680	693.5375114
681	692.3567779
682	691.9905104
683	691.4636318
684	689.8862515
685	689.6788651
686	688.6063896
687	687.327617
688	686.8411354
689	685.8272517
690	685.1406539
691	684.6739319
692	683.6094059
693	682.7705496
694	682.32038
695	681.5480292
696	680.541579
697	679.7906917
698	678.67165
699	678.3454847
700	677.9263502
701	676.8411064
702	676.0171748
703	675.1167532
704	673.9665983
705	673.1041731
706	671.9332006
707	670.3694456
708	669.6111877
709	669.0013167
710	668.7723983
711	668.1212197
712	666.4801664
713	666.2247476
714	665.4035333
715	664.921679
716	664.1973337
717	663.2522746
718	662.004396
719	661.0513645
720	660.2271865
721	659.8028047
722	659.0952782
723	658.2496283
724	657.0117566
725	656.1060588
726	654.9551516
727	653.1931641
728	652.976666
729	652.1113886
730	651.2134075
731	650.658397
732	649.6263842
733	648.9132637
734	647.6883979
735	647.1884029
736	646.4718351
737	646.2987447
738	646.0974733
739	644.3712683
740	643.8767501
741	642.1565463
742	640.6544411
743	639.3094128
744	638.5814792
745	637.933803
746	637.5969241
747	637.02206
748	636.5564413
749	635.7330833
750	635.0064
751	633.7696098
752	632.764142
753	631.8841722
754	631.0541002
755	630.2052519
756	629.2208003
757	628.4750073
758	627.9083205
759	627.0298804
760	626.4235943
761	625.4100187
762	624.7468575
763	624.0170225
764	623.8320383
765	623.2849307
766	622.520555
767	621.8990825
768	621.0678011
769	620.3829221
770	619.1528505
771	618.6324645
772	618.0024445
773	617.1994147
774	616.2538181
775	615.7880652
776	615.3071232
777	614.5520071
778	613.3764295
779	612.348129
780	611.6622493
781	610.6307684
782	609.9081903
783	609.1238696
784	608.7328762
785	607.6879405
786	607.4288449
787	606.9535486
788	605.848986
789	605.1042052
790	604.2989559
791	603.8740809
792	603.5098641
793	603.1957804
794	602.4370857
795	601.7816872
796	601.2253034
797	600.7287294
798	600.2643622
799	599.921522
800	599.0279421
801	598.5031847
802	597.0373902
803	596.5543403
804	595.4420826
805	594.904876
806	594.399555
807	593.6997465
808	592.6812837
809	592.5186806
810	592.1092671
811	591.3847471
812	590.6290163
813	589.9383941
814	589.4667342
815	588.4801445
816	587.7118867
817	587.1586753
818	586.8270315
819	585.5877802
820	584.5311018
821	583.3053355
822	583.0222021
823	582.2762592
824	581.582761
825	580.7367458
826	580.3930676
827	580.0444204
828	579.088879
829	578.7988636
830	577.6636035
831	576.758856
832	576.4225627
833	575.7246782
834	574.4728848
835	574.0135435
836	572.6769785
837	572.3822526
838	571.7445739
839	570.6276379
840	569.605112
841	568.8966461
842	568.5631877
843	568.1443174
844	567.7052097
845	567.4169851
846	566.839885
847	566.0204585
848	565.4762914
849	564.828394
850	564.6035064
851	564.080088
852	563.4068136
853	562.7772432
854	561.9265709
855	561.6162532
856	561.4402471
857	560.3494061
858	559.5764817
859	558.6560114
860	557.7279355
861	556.4927551
862	556.0950453
863	555.2746131
864	554.370977
865	553.5436712
866	552.8415207
867	551.874203
868	551.1682084
869	550.5977435
870	549.8242687
871	549.3728781
872	548.6139766
873	548.2628702
874	548.1062126
875	547.2998152
876	546.771723
877	546.6081155
878	545.8471636
879	545.5547643
880	544.4762231
881	544.2888993
882	543.2490426
883	542.6335713
884	541.6407153
885	541.0857073
886	540.8680113
887	540.4103659
888	539.8472563
889	539.1527966
890	538.1019736
891	537.3481243
892	536.4488578
893	535.5422483
894	534.9317475
895	534.1668512
896	533.8029013
897	533.107609
898	532.8394184
899	532.3236805
900	531.684779
901	530.3515574
902	529.9604445
903	529.2556424
904	528.2899088
905	527.3911299
906	526.7157923
907	526.4147453
908	525.9991854
909	525.4010217
910	524.6534755
911	523.9411912
912	523.6593677
913	522.9058567
914	522.4134641
915	522.1169374
916	521.1485569
917	520.5629275
918	519.693718
919	519.2403031
920	519.0107781
921	518.634986
922	518.1054932
923	517.3813566
924	516.4788804
925	515.7225077
926	515.5166861
927	515.0572516
928	514.2160968
929	513.9211775
930	513.242263
931	512.6242513
932	512.1983678
933	511.3589803
934	510.9817461
935	510.4489651
936	510.0609061
937	509.2052105
938	508.5013439
939	507.4008463
940	506.6477961
941	506.4510267
942	505.6453034
943	505.5394762
944	505.214825
945	504.9422441
946	504.3787448
947	503.935006
948	503.1741336
949	502.7951496
950	502.455571
951	501.8451394
952	501.3531789
953	500.84242
954	500.3933844
955	500.0774054
956	499.2435732
957	498.6871151
958	498.3438725
959	497.5765097
960	497.1225489
961	496.2331925
962	495.8774723
963	494.9977471
964	494.7621315
965	494.1878008
966	493.7133596
967	493.4669086
968	493.2533151
969	493.0019242
970	492.3105182
971	491.7401434
972	491.0420849
973	490.4632597
974	490.0450495
975	489.7774752
976	489.2368915
977	488.7110005
978	488.0236816
979	487.7418852
980	487.2690007
981	487.116882
982	486.5779304
983	485.9702816
984	485.3387404
985	485.2145256
986	484.6401264
987	484.5618041
988	483.7079329
989	483.2493244
990	482.563908
991	481.7940845
992	480.926775
993	480.4034153
994	479.8935091
995	479.5795382
996	479.41303
997	478.5534571
998	477.756926
999	477.2610036
